num,MRF,stochastic
5,0.533547106,0.125548233
5,0.57897988,0.266967956
5,0.496150909,0.207473738
5,0.675214199,0.124404408
5,0.575231056,0.416681577
5,0.313338764,0.260721275
5,0.600357478,0.311826005
5,0.705944333,0.289928223
5,0.532236273,0.315461633
5,0.53821466,0.337096368
6,0.564322628,0.244464013
6,0.671237386,0.158454924
6,0.582534174,0.2610401
6,0.60660296,0.476588271
6,0.628857415,0.284070294
6,0.554215962,0.4190841
6,0.566996945,0.127849338
6,0.473595554,0.374255282
6,0.687399732,0.490903455
6,0.557697409,0.480196998
7,0.645740158,0.262563585
7,0.603798523,0.345334594
7,0.637272312,0.419275551
7,0.529401205,0.27137312
7,0.630496215,0.233252273
7,0.623438056,0.273960551
7,0.517332223,0.387654559
7,0.479902425,0.338648555
7,0.63631146,0.303837983
7,0.637765821,0.26107555
8,0.489804359,0.38348543
8,0.575518603,0.285030239
8,0.731872152,0.321380756
8,0.549871978,0.398314183
8,0.591321973,0.404284466
8,0.562700936,0.288544677
8,0.356208106,0.277188064
8,0.640909338,0.164273294
8,0.67617234,0.290581921
8,0.609696978,0.367899314
9,0.598164139,0.263870773
9,0.736840365,0.458926969
9,0.514480814,0.264472605
9,0.586558908,0.169036367
9,0.625727832,0.199623188
9,0.579538482,0.364379939
9,0.533285202,0.374574135
9,0.496332776,0.460261157
9,0.693265484,0.368807229
9,0.658719382,0.324025845
10,0.624092482,0.293474594
10,0.710477165,0.472884394
10,0.538416542,0.188497124
10,0.674632998,0.327684128
10,0.680678046,0.148965714
10,0.618325293,0.333084057
10,0.624269425,0.39988441
10,0.669340749,0.27992187
10,0.623934267,0.332477758
10,0.568313342,0.342421499
11,0.63618704,0.507846393
11,0.614682302,0.204370406
11,0.619823434,0.332839961
11,0.648285855,0.246263114
11,0.761256651,0.255504534
11,0.61368421,0.231617738
11,0.672862186,0.431400014
11,0.525356278,0.502068116
11,0.675664714,0.329546342
11,0.667450832,0.356466874
12,0.703901216,0.39317462
12,0.552368226,0.401573705
12,0.602105428,0.383456474
12,0.670457623,0.357268018
12,0.619674576,0.323107507
12,0.553484336,0.613517094
12,0.683482919,0.251156439
12,0.636488936,0.325142107
12,0.622819741,0.134918432
12,0.669363142,0.474376872
13,0.667518837,0.44710117
13,0.60491749,0.175824889
13,0.63098858,0.655300897
13,0.715867472,0.489641524
13,0.603634893,0.36855946
13,0.797300976,0.475450559
13,0.641189896,0.399155136
13,0.731167807,0.426905042
13,0.580448635,0.336499573
13,0.649569441,0.438772538
14,0.631421908,0.554717518
14,0.688030615,0.368246213
14,0.605018954,0.329265059
14,0.674464449,0.495542215
14,0.534987277,0.525569508
14,0.643904227,0.400781521
14,0.696775321,0.265677557
14,0.502989027,0.330085943
14,0.732324603,0.472061485
14,0.790194062,0.365337441
15,0.606918575,0.548555659
15,0.625135789,0.425593012
15,0.629110369,0.295863055
